DreamId,Old DreamId,Title,Date,,Answer,Respondent,Question Title
12,1284,,02/01/2020,01/02/2020 00:04,"“The Old Rusty Car” (from when I finally went back to bed) In this dream I have a picture of an old rusty car and it’s got a flat back like the kind you can open - I think it’s called a hatchback - only it’s been sitting and not moving for quite some time. The metal has rusted to what I find is a quite beautiful terracotta red-brown color. It’s rusted in panels - the panels of the car are slightly different colors of this terracotta. On the back - the hatchback - it’s made up of 7 different panels and instead of being different shades of terracotta, one is a yellow ochre - an artist color where the ochre pigment has some of that terracotta color in it - and another is a turquoise blue. Some of the panels are those colors. The contrast is absolutely gorgeous. You can see the rough pigments of the metal as it’s coming apart and it’s just gorgeous. I realize that as the dream opens and I have a picture of it, this car is actually a portal. So I’m seeking the portal in the dream. Interestingly, there’s a person in it who I knew as a teenager growing up through my twenties, not a close friend, but someone in my friend group. They had a farm on the outside of town and I was there a couple of times, and one time was an eclipse party when we went out there to watch the eclipse. Anyway, he committed suicide about 5 years ago and I had lost touch - we were never that close - and he was in my dream as a guide. His name was Craig. So I figured out the place this portal is - it’s like I carbon dated the paint pigments (I guess it’s because I do actually paint, I use oil paints) and they can only come from this one possible place, and of course it’s not on a map. So I’m hiking through pathways sequentially and I’ll go back, hike through, I don’t find it, and return to my own home, and go back other times. So I repeatedly went back and each time I went back, he meets me, this Craig guy, except for one time. And that time my dad met me, which is interesting because he’s 80 now and we used to walk a lot but he doesn’t walk for long periods anymore because he has a bad hip. So I have conversations with both of them - conversations about life and reflecting back, memories and philosophical conversations. All of the times where I’m hiking on the path I’m not alone, I’m with Craig, except for the last time. So Craig says, “I’ll leave you here,” and then he disappears. And then I see my dad and he’s already up ahead, so I walk towards him and he’s on the outskirts of a very, very small town. It’s like a beach town, like they have up along Lake Erie in Canada, but they’re just small groupings of houses, maybe that cottagers would require. Because there are cottages built around the shores of a body of water, maybe a marina might pop up and a general store. So it’s just like that. There’s maybe only 5 or 6 buildings in it and one of them is a roadhouse style cottage that serves food and I don’t even know if they have indoor seating, it’s all outdoor with round tables with umbrellas. My dad is sitting underneath one and I go up and sit down beside him. We have a really good conversation, it’s so beautiful. And at the end of the conversation he passes an envelope to me and he says, “I think you’ll recognize what’s in it.” I open it up and it’s a picture of that old rusty car that I love so much. He says, “I can take you to where that is.” And I give him a hug and say okay lets’ go. So we do. We circle around the town and meander between the little cottages and then we come into a dirt, open plaza. There’s that old rusty car. I just look at it, taking in all its colors and textures and then my dad says, “This is where I have to leave you.” And he does. I’m just standing there with the car. I realize if I go into it, I won’t come back out. There’s a whole other world in the car and I’m just staring at it and weighing the odds. All of a sudden at the table where I’ve been sitting is Omar and he has two boxes wrapped up in brown paper and they’re both addressed to me. One of them has a board game in it and the other one says, “You’ll see what it is when you open it. I just want you to have a few things so you know I was here. They won’t be recognized as coming from me because they seem like everyday things.” I just sat there with him and didn’t say anything. He fades away, too, and I go back to the car deciding whether or not it’s time for me to go into it or not. I decide it’s not, but I know where it is now. And then I wake up.",Freya Co'LM,last_nights_dream2
13,1966,,02/01/2020,01/02/2020 00:05,"I was in my parents' bedroom helping my mom as she wasn't feeling well. I inspected her head and found to my shock that she had copious amounts of long, slimy, blue hair tentacles among the rest of her hair. I told her that this was a serious condition and that we must seek medical attention at a hospital, but she became psychotic, refused to acknowledge anything was wrong, and began to become mildly violent. I attempted to soothe here so that I could secretly call 911 to have an ambulance come and take her away.",Bob,last_nights_dream2
14,53,,03/01/2020,01/03/2020 00:00,"I am passing through a room, around a table where Luella is sitting and speaking to someone else across the room….It seems like a serious situation, so as I pass her I laugh and say as a joke, Luella, I can’t believe you are doing this!....I am unsure if she gets the joke….Later, I see Jordan going into some kind of tunnel outside, like in a garden, lots of plants and green vines around….",KB,Last Night's Dream
15,407,,03/01/2020,01/03/2020 00:01,Weird I used to not dream about my ex when I was with him but another dream about him and this time - we were somewhere together and he was on a business trip and we were supposed to go to Paris but he did not want to take me. It was kind of blurry and out of focus. it was nighttime in my dream again,Vera,last_nights_dream
16,724,,03/01/2020,01/03/2020 00:02,"At my childhood home there is a family reunion from a few families that are important to me. (In waking life I don’t know these families). A friend John who is in love with me invited his family to meet me, but I am married. He introduces me to the room of people and says we have a lot of history and I balk because it implies something romantic that never was. (In real life he was a high school crush and a pen pal after he moved away). I feel embarrassed and want to confront him but not humiliate him. I wander around and mingle with guests and don’t confront the friend. I fly to China for the marathon but leave mid way through to Iceland airwaves and to do a kayak trip around the island. I don’t finish the race either. I go to my favorite shop in Iceland and there’s a t-shirt that says we’re having a baby and it’s a picture of a tiger and a bird and the baby is a monkey. I go to lunch and my best friend Bea is there and we embrace. (In waking life we recently had a falling out). I tell her I sold the business and that I got invited to join a matchmaking service but I’m married so I don’t want to go. I panic about getting home and also back to China to finish work because I bought a one way ticket. I call to stay with a friend Julia (who I also had an argument with last year and want to patch things up). Julia picks me up and she tells me she finished the half marathon and she is in recovery from it still.",Tita,last_nights_dream
17,1285,,03/01/2020,01/03/2020 00:03,"“The Flying Machine” In this dream I’m at my dad and stepmother’s cottage. It’s located in the Boreal Forest and the forest is so thick that you can’t possibly walk through it. There’s no path. There’s no space between the trees and the underbrush. So, there’s just a clearing. My stepmother makes sure that I understand I’m not allowed to sleep in the main cottage, so I have a cabana - a small one room that fits a single bed cot. There’s nothing else in it, just a cot. It’s made of wood and it has a roof and a door. This is where I sleep and I have a flying machine - it’s made of metal and taffeta - weather-proof material that tents are made out of and actually windsurfer sails are also made out of it. It’s like a parasailor. I think in real life, people are led up to gliders to a cliff and then they’re strapped in and then they glide all the way down. This is what it is, only it has a bottom, so I can actually cross my legs, sit in the stretched taffeta material and operate the lever that will lift the wings out so I can go higher or lower that one side of the wing down so I start to come back down towards the earth. So I’m wearing a dress and I walk from my cabana down to the shore, get in my flying machine, and the wind just takes me up. And it’s amazing. It’s so quiet up there - the quiet has texture to it and it just goes through my whole body and I orgasm. I fly around for a while and then I shift the gear and come back down and land the plane. I’ve done this before and I have a picture of me flying it with a friend in it. The friend is there on the shore, but she won’t come up with me in it, although the dream is in multiple timelines so I know she has. She just doesn’t during this particular dream. And then my stepmother creates some drama. She doesn’t want it on the dock and stuff, so I speak to a neighbor and the neighbor tells me it’s fine to leave it there. So I go up in it again and fly around and it’s just so peaceful and so freeing and then I land it when it’s time down on the neighbor’s dock. My stepmother is a little bit pissed off, but what can I say, it’s not her dock. So I go and sleep in the cabana and listen to the birds and the sounds of nature. I go up and down in this thing multiple times. I try to convince my friend to come with me, but she’s scared. I take her for a dry run in it where we don’t leave the land. She doesn’t want to go in it though, so she just wanders off. I fly in it again, land it, and then in the dream, I become bored with doing this in this one particular place. I’m not really welcomed in the cottage, so I decide to do something else and the dream exits that forest and I go back to the city.",Freya Co'LM,last_nights_dream1
18,1286,,03/01/2020,01/03/2020 00:04,"“The Cake” I arrive in the city and I walk over to my lover’s apartment. I tell him that sure, I’ll accompany him to the celebration that one of his colleagues from work is hosting. We are required to bring a dish with us and he doesn’t want to cook something, so we go to a facility where we can cook it at that facility. So we walk to it. We enter the premises and it’s run by a temperamental chef. There’s a counter that has all kinds of small compartments in it and some really interesting tools. I’m looking at all of these and I pick them up and examine them and try to figure out what on earth they’re all for. My lover is talking to the chef because they’re deciding what the creation will become. I realize that all of these little tools are for making wine, but they’re like juicers that you hold in one hand, and that’s why they’re so tiny. You take each grape and put the thing that brings the juice out inside the grape and then turn it until the pulp comes out and then the juice. You do one grape at a time. I think, wow, this is interesting, but it would take such a long time. And then I’m looking at the other, there must be 50 different compartments in this table and they each have a different tiny tool in them. So I’m absorbed in figuring out what each of these are all for and I realize there’s a bit of commotion behind me. I look and there’s this giant cake with icing on it and my lover’s daughter is on the premises - she just appeared. She’s about 10. And she’s trying to taste the cake, of course, and because this dream is also in multiple timelines, I realize she does. But she hasn’t done it yet. Even though she has not done this yet, I see the chunk of cake come out where she’s taken the bite and I see someone else, not the temperamental chef, but a third party who has stepped in and fixed it by mushing some other parts of the cake to fill the hole and with his finger puts the icing across and dabs it across so it doesn’t look like a chunk has been taken out of it, but you can still tell that there is. The temperamental chef sees this and just isn’t upset about it. He’s still going on and having a temper tantrum about whatever else he’s always absorbed with having a temper tantrum about but doesn’t address the cake. Now we’re in a car and we’re driving up this beautiful roadway - it’s like the kind you see in Italy where it just winds around and around and elevates, and there’s this one side of it that has no shoulder but drops down - the kind you don’t want to make a mistake in when you’re driving because it just looks like the car will fall over the side. It’s a perfect day and there’s a bit of a breeze. On the dashboard of this car - it’s a small car - is a convertible - has amazing controls in it. I become absorbed in figuring out what all of these buttons and dials are for. Then I wake up.",Freya Co'LM,last_nights_dream2
19,54,,04/01/2020,01/04/2020 00:00,"I am playing dominos with someone….We both draw, the other person plays first, a double five….perhaps the best opening play of all….I look at my tiles, they are almost all blanks….the lowest possible hand….",KB,Last Night's Dream
20,408,,04/01/2020,01/04/2020 00:01,"Last night I dreamt that my late husband Caleb met me for a weekend away. He was young and I was older. We had a great time at a bed and breakfast, walking around and seeing my older sister Liz. We went driving back home but when I got off the exit it was all grassy and completely vertical. He agreed to take the car up the “hill” so we got into two cars and I was following him but then I lost him. Then I woke up.",Vera,last_nights_dream
21,680,,04/01/2020,01/04/2020 00:02,I dreamt I was a spy for the US Government. The image of a Phoenix kept appearing throughout the dream.,Kel Burgess,last_nights_dream
22,1965,,04/01/2020,01/04/2020 00:03,I wasn't feeling well--I believe it was mild nausea--and my mother suggested that we go to the hospital to have tests have them deal with it. It was as if she knew what was wrong with me while I was convinced it was nothing serious.,Bob,last_nights_dream2
23,409,,05/01/2020,01/05/2020 00:00,I think in my dream I was talking to someone about the Iran situation but not sure if I dreamt it or not.,Vera,last_nights_dream
24,681,,05/01/2020,01/05/2020 00:01,Images of a Crown from a Higher Source: 3 Triangles stacked on top of one another on a humanoid body.,Kel Burgess,last_nights_dream
25,1287,,05/01/2020,01/05/2020 00:02,"“Photographs” The setting is somewhere I’ve never been before. I don’t recognize it. The population is a higher density than I’ve lived anywhere in Canada. I’ve never lived anywhere else other than here, so I'm not sure. The architecture I’m positive is much older than contemporary. It’s not made of stone though, so it’s not Medieval, it’s not Renaissance. I don’t think it’s Northern European either. I’m feeling it’s more Mediterranean or something closer to the Equator, though it’s not as hot climate wise. It’s very colorful. There’s a lot of curves to the architecture and extra pieces added on, too, and it’s not just a box structure. There’s artistic pieces added on so it looks pleasing to the eye. It’s very artsy in this community. People make everything by hand. There’s a lot of thought put into it first. There doesn’t seem to be hierarchy of economy either or social standing. So what you eat, what you wear and your craft are all socially equal. So when you go to have food, you pick each item from the person who has created it. Then you create your food together. You can also go to a cook who is making food for others. You don’t just go in there, order at a counter and buy it. You have a conversation and then the cook shares a dish with you that he/she/they think you would like. So it’s quite different and very beautiful. I am a representative of life. In my dream I’m not called a photographer. I don’t actually have a camera. I have something that takes shadows so it’s a light. There’s a background and then once the light is shined on the object or person, it’s the outline that represents who they are. I make these for people. So they’ll come in and have a conversation with me and when I think it’s time, I’ll shine the light (with their permission, that’s what they’re there for, it’s not uninvited) and create a shadow for them. Lots of times this is done in exchange for foods or other gifts. This is a barter system economy. I’m very happy there. The dream comes to a conclusion in two ways. There seems to be a theme in my dreams lately where they’re both/and. Things are happening at the same time. So at the same time as I am creating a shadow piece for myself, I am also in the place where the person who cooks for other people is cooking. I’m in there just sitting. I’m actually studying some of my own work. The cook is androgynous. That seems to be another theme. I’m talking to them just in little bits. It’s a very comfortable conversation - the way you would have a conversation with someone you lived with for a long period of time where you say a couple of sentences and they respond and you’re both kind of doing your own thing. Fifteen minutes go by and then you make another couple remarks. It’s like that. So I’m in there and I’m aware that there’s a man that comes in. He’s trying to order a sandwich the way we would here now. The cook is not responding to him. So I’m aware that this exchange is unsuccessfully occuring in the sidelines of my consciousness. It gets to a point where I’m uncomfortable continuing to do what I’m doing there because this is disruptive. I’m aware that the cook is agitated. I’m aware also that the man is not going to go away. I feel compassion and want to stand in to alleviate the discomfort. So I go behind where the food is prepared. I start talking to the cook in the way I would talk to the cook before I was offered something to eat, hoping that by modeling the behavior, the man is going to understand. He doesn’t. Instead he thinks that I’m another employee. He starts trying to get me to make the sandwich. I don’t. But the cook responds to me and gives me a couple slices of tomato. So I go get a plate and put the tomato slices on a plate and bring it over to where I had been doing my own work. He looks puzzled at first and then a little bit angry. I assume that he’s been thinking, “Wow, I’ve been standing here asking for something for x number of minutes, and she just walks in there and starts helping herself and gets service.” And then he reaches over as though he’s going to help himself, and then someone else materializes on the scene and grabs his arm and removes it. There’s a commotion. The man is eventually removed because he won’t listen and he won’t start trying to force a sandwich because none is appearing. I realize that I’m describing this, my consciousness is flipping back and forth from this scene through the portal of my work that I’m trying to focus on. In my own work, I am adjusting my own posture so I can get the line of the shadow that I want through this piece. The piece is created by wearing a sarong just between your navel and your hips. It’s not a flowy sarong, it’s more like the ones you see in Egyptian photos where the material is thicker and the piece that hangs over the front is wide - it’s not flowy, it’s made of a stiffer fabric. On the top fabric goes around the ribcage up to the nipples, so they start at the bottom rib - the material is stiffer - and they go up towards the nipples. What keeps happening is every time I adjust this piece of fabric over my own body, it goes over top of my nipples and I’m trying to get it to say just below the line of the nipples so you see the actual line of the nipples in the outline and then it goes down the rest of the body. Also in my dream, my physical body is getting really turned on by this. Every time it happens in my dream, I find it hard to stay in the dream. So the moment I get this right. There it is! The shadow is exactly the way I want it to look and feel, it’s just like Boom! My whole body is electrified. That’s the end of the dream. I wake up.",Freya Co'LM,last_nights_dream
26,1964,,05/01/2020,01/05/2020 00:03,"My dad and I had to find a hospital so that I could have some test performed (or maybe so that we could get test results). I knew where it was generally but not exactly how to get there. The hospital was located in a small town-like complex that was where I lived. Maybe like college, but it had its own hospital, library, and store. We ended up in the grocery store which we had to make our way through to get to the hospital. I think we asked someone for directions and they pointed us toward the hospital. We might have also entered the hospital, but the memory of the dream has mostly faded.",Bob,last_nights_dream2
27,55,,06/01/2020,01/06/2020 00:00,"I am working on something complex, and I am happy about it….Later, I see a little dog in peril….there is a tall fence with horizontal slats and lots of green foliage growing on and in it….We are trying to push the dog through, to help it?....",KB,Last Night's Dream
28,770,,06/01/2020,01/06/2020 00:01,"I’m in a hotel conference room, sitting next to my mom. There are a lot of other people sitting in rows. I look down and see that I’m wearing a light blue leotard and a flimsy skirt made of scarves. It isn’t secured well to my waist. I see that my mom has elastic wrapped around her skirt and I ask to borrow some….",Ana,last_nights_dream
29,1288,,06/01/2020,01/06/2020 00:02,"I had three dreams this week. The details are blurred. All of the dreams were Apocalyptic. The world was already burned. I’m surviving it. There’s a few other people that have survived it. The last one was really hot and dry. To be honest, I was in the dream, I was dreaming it and it was so hot and dry that I felt like I couldn’t breathe. I woke myself up and out of the dream.",Freya Co'LM,last_nights_dream
30,1963,,06/01/2020,01/06/2020 00:03,"The J. family had returned from missions work and were having a large get-together which  I found myself a part of. Everyone was eating, so I filled a plate with food, mostly meat, and took my seat at a long, rectangular table at the head. It was one of the few seats remaining. As the table filled, I realized that this table was only for family members. No one said anything to me, but I felt a bit awkward. His mother was there as well as some older grandparents.  I wanted to talk to A., but he wasn't at the table and he didn't seem to want to approach me. Eventually I rose and mingled with the crowd. I saw many people who I knew and shook a few hands, including that of the Jamison's youngest son. He was positively terrified of me and said nothing while reluctantly shaking my hand. I assumed he was merely shy.   A. walked up to me and we began to converse. I realized that Asher was just as uncomfortable with the current environment as I was and he told me that we should leave so that we could talk more. He left and I ventured out to meet up with him at the location we had specified.  Upon leaving the party, I found that I was at UCF and that my dad was walking with me. I knew that I had to find A. as we walked from the right side of the Chapel toward the Gym. We were walking across the soccer field between the two buildings and all of a sudden I was in the midst of a group of children playing soccer. The ball was soaring around me as if we were playing keep-away. I may have hit the ball a few times, but didn't get seriously involved. When we had moved a little ways further, I saw that my younger brother was with them. We waited on the sidelines for the game to finish and then continued with my brother. We spoke for a minute but I don't remember what we said.   I was on the other side of campus with my dad when we saw A. walk or drive past. We were next to my dad's car, but I didn't want him to drive me to follow Asher though he offered. I wanted to do this on my own, so I took off running back toward the chapel to find Asher. It was raining at this point and I had to use the restroom, but I was determined to find him on my own.  I did find him eventually although I don't know how I got to where he was. Corey was also with him. We spoke for a while and caught up. It was a good conversation though at times I was a little unsure what to say as we'd changed so much.  Without warning, I found myself in a room with Mr. and Mrs. Jamison and my older brother. The Jamisons were on the left where Mrs. Jamison was lying down on her back with Mr. Jamison sitting next to her. Carson was sitting on the far wall and I was on the right also lying down but slightly propped up. We were all talking when, Carson asked Mrs. Jamison why she had refused to let him date their eldest daugher--who in reality never existed as they only had 3 sons. She said something to the effect that she could see even then that Carson was an immoral person although her wording was different. Carson asked if she could really tell at that time because he had hidden it very well and always acted like a good kid. He said that he also only smoked weed once a day at that time.   Mrs. Jamison kind of huffed at this and made a disparaging comment about the use of weed. At this point, I was getting a bit annoyed that Mrs. Jamison was being so disrespectful to my brother, so I said, ""Well that's nothing because I took psychedelics!"" Mr. Jamison actually laughed at this but Mrs. Jamison was offended. I was sure that they would never let me speak with A. again. Mrs. Jamison then began to speak of how terrible marijuana was and of all of its negative effects. Every single time she would bring up a negative point, I would counter it with my experience or scientific research. For example, she said that it caused nausea and I pointed out that in reality they used marijuana to treat nausea in cancer patients.  I felt bad about this after we had argued for a bit and apologized, but at this time I was waking from the dream and my apology was more in the waking world than in the dream world.",Bob,last_nights_dream2
31,56,,07/01/2020,01/07/2020 00:00,"I am walking through a large oval or rectangular playground or park, surrounded by tall chain link metal fences….I am crossing the playground, from one entry to another, when I see my cousin Dale….He is on a skateboard, with his shirt off, riding around….I notice his skin is darker than I expect, deep tan or bronze, and I am surprised and impressed at how thickly muscled his chest is….much more muscled than me….As I walk out of the playground, I wonder, is he really in that much better shape than I am?....is it because I am older than he is?....But I think we are about the same ages….Later, I feel ants crawling on my back, near the top on either side of my spine….I try to brush them off….",KB,Last Night's Dream
32,410,,07/01/2020,01/07/2020 00:01,This was interesting and maybe a first - I don’t remember my dream but woke up with a song playing in my head that was part of the dream. It’s called “All Ways Love” by Tubby Love. It felt soothing and hopeful to wake up - love that song!,Vera,last_nights_dream
33,1961,,07/01/2020,01/07/2020 00:02,"I was sitting at a table back in college when Casey walked up to me and told me that someone who I cryptically titled ""J"" didn't like me. I don't remember whose name began with J. I tried looking up at Casey's face, but my hair kept falling into my eyes and obscuring my vision. I could never see her clearly.",Bob,last_nights_dream2
34,1962,,07/01/2020,01/07/2020 00:03,We had a second orange cat which looked very similar to Trouble except that it had a much different personality.,Bob,last_nights_dream2
35,57,,08/01/2020,01/08/2020 00:00,"We have a little set up of food and drink for a party in my hotel room….It is rather cheap stuff, not really good enough for an event like this, a graduation perhaps?....I see a tag is sticking off a bag of chips, making it look even cheaper….Someone takes a little dog for a walk, and I worry if the leash is on well enough, so the dog will not be able to get away….There is no need for extra drama around something like that….",KB,Last Night's Dream
36,411,,08/01/2020,01/08/2020 00:01,"I was at a workshop but also at a fieldwork training to learn how to teach mindfulness to children. Shelia, my instructor, was a teacher from OT school who specializes in OT and mindfulness. I don’t think she works with kids in real life though. I went to her weekend offering at 1440 Multiversity in 2018 but do not keep in touch. In my dream it was dark (nighttime) and we were sitting side by side and she was telling me how glad she was to have me as her mentee, someone with life experience. It felt peaceful and calm. There was some confusion in the dream about working with kids as I only work with adult populations at present.",Vera,last_nights_dream1
37,412,,08/01/2020,01/08/2020 00:02,"I was on a family vacation with my dad, his partner (my stepmother), and other people who represented my siblings. We were seated at a table in a dark room with candlelight although it was daytime outside (I could see daylight coming in through windows in the far corner of the room). In my dream we were drinking red wine and eating bread, waiting for a meal. We were going to a show afterwards. The feeling was tense. Other people came to sit down and the waiter brought a bottle of ouzo, something I had in Greece but have never seen my dad drink. My dad then distributed amounts to each of us around the table but not to me; he shook the bottle towards me but only drops came out. I felt left out even though I didn’t want the drink really (I don’t drink a lot in real life). This dream was sad, tense, and confusing. I was hyper-aware of everyone else’s emotions and felt I needed to be quiet when it came to speaking up for myself.",Vera,last_nights_dream2
38,413,,08/01/2020,01/08/2020 00:03,The last dream: I was with someone who represented a former boyfriend and we were late to get to a circus in Monterey. We hired someone to drive us in a beat up old truck and they got us there but the show was on the wrong day. Then I woke up.,Vera,last_nights_dream3
39,682,,08/01/2020,01/08/2020 00:04,Images of love,Kel Burgess,last_nights_dream
40,1083,,08/01/2020,01/08/2020 00:05,"The rest of the dream has faded, but what I remember is swimming through water with my daughter who is somewhere between a toddler and a 6 year old. The water is in a gymnasium or a large building and it has filled the gymnasium, almost to the ceiling. In front of us, there is an opening or a wall that has been cut away and I can see this scene of a bowling alley in front of me. There’s this strange line of the water. I can stick my head above and be in the gymnasium and stick my head below the water and see it flip so that now my body is above me in the gym and my head is breathing below the line where the water was as I’m looking into this strange bowling alley scene. Then the scene shifts and I’m in a long passageway. It’s small shaped like a chute and we can only swim through it. My daughter is still with me and we’re swimming forward. My dad is behind me at the end of this passageway. He’s urging us to swim, but he feels gross - he’s watching as my legs move, opening to frog legs. I feel this predatory sexual energy that panics me and makes me urge my daughter onto faster swimming. I don’t want to swim in front of him because I know he’s looking at both of us and I’m grossed out and horrified all at the same time.Then the dream shifts and I cannot remember any more.",Rose,last_nights_dream
41,1959,,08/01/2020,01/08/2020 00:06,"I had 3 tabs of LSD each rated at 20 micrograms and I was planning on taking it with two friends. I took one tab, and my second friend took another. Our third friend decided not to take it so I took it instead. I remember explaining to my friends what to expect and I remember seeing the visual distortions begin. I clearly saw an afterimage of me moving my hand in front of my face. It wasn't exactly LSD-like but it was trippy.",Bob,last_nights_dream2
42,1960,,08/01/2020,01/08/2020 00:07,I was on one of the shipping lines with Jared and was trying to make myself useful though I didn't really know what I was doing. I found some hard drives lying around so figured I'd ship those. Spoke to Jared a bit about shipping.,Bob,last_nights_dream2
43,58,,09/01/2020,01/09/2020 00:00,"I am riding on a little scooter, with a couple other people on it, going fast through a tunnel….I try to adjust our position, get a better grip on some object in my hands, and we almost lose balance and crash….The others are upset at me, I say I am sorry….Later, I am in the front yard in Kensington, and I try to knock down some old construction materials that are in our neighbor’s yard, up in the trees, coming over onto our side….But I just end up making a bigger tangle, as everything stays tangled up in the tree branches….At a different point, I am in the backyard of the Kensington house and I see a comet in the sky, streaking downwards….I rush to the other side of the house to see where it goes….From the front yard I see it zoom straight over head….Wow, that is much closer than I was expecting….It crashes somewhere in Richmond, with a big fire bursting out where it landed….I look for news of it on the television….Bud is there, too, we wait to see what happened….different scene: a huge ship has somehow crashed and is sinking….I jump in the water, and try not to get hit by the massive ship as it comes down from above….Earlier, I am in a group trying to help Jennifer Lawrence….It is a scene of danger, and we have to keep her safe in our group….",KB,Last Night's Dream
